Compounds.1	Compounds.2	Correlation	P-value
taurolithocholicacid-3-sulfate	FFA(19:2)	0.8956185243662073	8.171023843886468e-5
taurolithocholicacid-3-sulfate	FFA(19:0)	-0.8626312951288811	3.044923221125146e-4
taurolithocholicacid-3-sulfate	FFA(29:0)	-0.6761956982492957	0.015766573947446606
taurolithocholicacid-3-sulfate	FFA(16:1)	-0.7910781659185016	0.0021809279041983608
taurolithocholicacid-3-sulfate	FFA(24:2)	-0.7684799120487552	0.003498087639342832
taurolithocholicacid-3-sulfate	FFA(20:1)	-0.7893385806062042	0.00226610517572791
taurolithocholicacid-3-sulfate	FFA(24:1)	0.8212188717661458	0.0010564930868352908
taurolithocholicacid-3-sulfate	FFA(18:2)	0.8151136796812403	0.0012360548923985282
taurolithocholicacid-3-sulfate	FFA(20:2)	-0.8445146488612295	5.479024279143741e-4
taurolithocholicacid-3-sulfate	FFA(20:4)	0.8080335234477893	0.0014727335811633524
taurolithocholicacid-3-sulfate	FFA(22:5)	-0.6852583856440972	0.013916932655684184
taurolithocholicacid-3-sulfate	Hex2Cer(d18:1/24:0)	-0.6789146311448707	0.015193730286521242
taurolithocholicacid-3-sulfate	HexCer(t14:0/24:2(2OH))	0.5993101060972201	0.03944845877075109
taurolithocholicacid-3-sulfate	HexCer(t22:1/16:1(2OH))	0.624150086994904	0.030065816334516465
taurolithocholicacid-3-sulfate	HexCer(t19:1/26:1(2OH))	-0.7112971816085021	0.009490167517574529
taurolithocholicacid-3-sulfate	HexCer(t18:1/20:1(2OH))	0.947729213824554	2.8140368897644044e-6
taurolithocholicacid-3-sulfate	HexCer(t18:0/20:2(2OH))	-0.7695531186963791	0.003424460430181349
taurolithocholicacid-3-sulfate	HexCer(t18:0/20:1(2OH))	-0.8499611652300366	4.628689155220968e-4
taurolithocholicacid-3-sulfate	HexCer(t18:0/15:0(2OH))	-0.884778705770394	1.314124442701739e-4
taurolithocholicacid-3-sulfate	HexCer(t16:0/22:2(2OH))	-0.6442350720399572	0.023749096796395846
taurolithocholicacid-3-sulfate	HexCer(t14:2/30:2(2OH))	0.8889173451855199	1.1023861393196497e-4
taurolithocholicacid-3-sulfate	HexCer(t14:1/24:1(2OH))	-0.808797802666704	0.0014456324015755535
taurolithocholicacid-3-sulfate	HexCer(t14:1/24:0(2OH))	0.6574257582050947	0.02016423532007975
taurolithocholicacid-3-sulfate	HexCer(t14:0/24:1(2OH))	-0.8533563392517004	4.1529769284750535e-4
taurolithocholicacid-3-sulfate	HexCer(t14:1/17:0(2OH))	-0.8154402299357482	0.0012258945812771928
taurolithocholicacid-3-sulfate	HexCer(d18:1/22:0)	-0.6440506796681069	0.023802271422021546
taurolithocholicacid-3-sulfate	HexCer(d18:1/24:0)	-0.8895420490807059	1.0729003284298129e-4
taurolithocholicacid-3-sulfate	HexCer(d16:1/18:0)	0.8697256374756458	2.365053239649806e-4
taurolithocholicacid-3-sulfate	HexCer(d18:1/23:1)	-0.7987055659011664	0.001835963370366188
taurolithocholicacid-3-sulfate	HexCer(d18:1/18:0)	-0.7167125899460924	0.008720576747262648
taurolithocholicacid-3-sulfate	HexCer(d18:1/16:0)	0.8856765628823419	1.2656934340433214e-4
taurolithocholicacid-3-sulfate	HexCer(d18:1/17:0)	0.8907368681827776	1.0182280888278031e-4
taurolithocholicacid-3-sulfate	LNAPE(22:5/N-20:2)	-0.5779745128835103	0.049029399568485094
taurolithocholicacid-3-sulfate	LNAPE(16:0/N-18:1)	-0.7044785906554083	0.010529845224170999
taurolithocholicacid-3-sulfate	LNAPE(18:1/N-17:0)	0.8752748558641238	1.9210401845519388e-4
taurolithocholicacid-3-sulfate	LNAPE(18:1/N-18:2)	-0.8057169448132818	0.0015572682524638464
taurolithocholicacid-3-sulfate	LNAPE(20:4/N-18:2)	-0.7739947090832748	0.0031321873711248433
taurolithocholicacid-3-sulfate	LNAPE(16:1/N-16:0)	0.7071497834247481	0.010112947230416966
taurolithocholicacid-3-sulfate	LNAPE(16:0/N-16:0)	-0.798693105153033	0.001836490430093789
taurolithocholicacid-3-sulfate	LPA(16:0)	-0.8909792385903373	1.0074091770595871e-4
taurolithocholicacid-3-sulfate	LPC(22:2)	-0.8291050740111979	8.550972033842084e-4
taurolithocholicacid-3-sulfate	LPC(0:0/22:5)	-0.6422631530223193	0.024322244609998628
taurolithocholicacid-3-sulfate	LPC(0:0/20:1)	-0.844174222790603	5.535929344618495e-4
taurolithocholicacid-3-sulfate	LPC(0:0/22:1)	-0.7686505538682574	0.0034863011390034917
taurolithocholicacid-3-sulfate	LPC(20:2/0:0)	0.7528242178029574	0.004714819166859569
taurolithocholicacid-3-sulfate	LPC(0:0/20:2)	-0.7009817601602746	0.011094754591936427
taurolithocholicacid-3-sulfate	LPC(24:1)	-0.5822916020416827	0.046971039827408335
taurolithocholicacid-3-sulfate	LPC(20:3)	-0.7694018082901176	0.003434769112243741
taurolithocholicacid-3-sulfate	LPC(18:0/0:0)	-0.8819381316757644	1.4769641101057657e-4
taurolithocholicacid-3-sulfate	LPC(0:0/18:0)	-0.7548860448617967	0.00453858071460095
taurolithocholicacid-3-sulfate	LPC(15:0/0:0)	-0.6448172215124186	0.02358178400496767
taurolithocholicacid-3-sulfate	LPC(24:2)	0.8850350751871192	1.3001503181876643e-4
taurolithocholicacid-3-sulfate	LPC(20:0/0:0)	0.7380792253883096	0.0061303444744756725
taurolithocholicacid-3-sulfate	LPC(14:0)	0.7856513109119334	0.002455037995172842
taurolithocholicacid-3-sulfate	LPC(0:0/18:1)	0.8648406770422603	2.81872982964491e-4
taurolithocholicacid-3-sulfate	LPC(24:0)	0.6489151701286401	0.02242814112376663
