Compounds.1	Compounds.2	Correlation	P-value
taurolithocholicacid-3-sulfate	FFA(18:2)	0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	FFA(20:2)	-0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	FFA(20:4)	0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	FFA(22:5)	-0.6363636363636364	0.02609689105270316
taurolithocholicacid-3-sulfate	Hex2Cer(d18:1/24:0)	-0.5454545454545454	0.06661188226688906
taurolithocholicacid-3-sulfate	HexCer(t14:0/24:2(2OH))	0.36363636363636365	0.24526500073077734
taurolithocholicacid-3-sulfate	HexCer(t22:1/16:1(2OH))	0.3333333333333333	0.2896916120510084
taurolithocholicacid-3-sulfate	HexCer(t19:1/26:1(2OH))	-0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	HexCer(t18:1/20:1(2OH))	0.5454545454545454	0.06661188226688906
taurolithocholicacid-3-sulfate	HexCer(t18:0/20:2(2OH))	-0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	HexCer(t18:0/20:1(2OH))	-0.6060606060606061	0.03671701047945948
taurolithocholicacid-3-sulfate	HexCer(t18:0/15:0(2OH))	-0.5454545454545454	0.06661188226688906
taurolithocholicacid-3-sulfate	HexCer(t16:0/22:2(2OH))	-0.42424242424242425	0.16928128956181773
taurolithocholicacid-3-sulfate	HexCer(t14:2/30:2(2OH))	0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	HexCer(t14:1/24:1(2OH))	-0.45454545454545453	0.13765791634772956
taurolithocholicacid-3-sulfate	HexCer(t14:1/24:0(2OH))	0.3333333333333333	0.2896916120510084
taurolithocholicacid-3-sulfate	HexCer(t14:0/24:1(2OH))	-0.24242424242424243	0.447753328173465
taurolithocholicacid-3-sulfate	HexCer(t14:1/17:0(2OH))	-0.42424242424242425	0.16928128956181773
taurolithocholicacid-3-sulfate	HexCer(d18:1/22:0)	-0.3333333333333333	0.2896916120510084
taurolithocholicacid-3-sulfate	HexCer(d18:1/24:0)	-0.6666666666666666	0.017900123202763782
taurolithocholicacid-3-sulfate	HexCer(d16:1/18:0)	0.6363636363636364	0.02609689105270316
taurolithocholicacid-3-sulfate	HexCer(d18:1/23:1)	-0.7272727272727273	0.007355028857805139
taurolithocholicacid-3-sulfate	HexCer(d18:1/18:0)	-0.42424242424242425	0.16928128956181773
taurolithocholicacid-3-sulfate	HexCer(d18:1/16:0)	0.7575757575757576	0.004316216598311831
taurolithocholicacid-3-sulfate	HexCer(d18:1/17:0)	0.696969696969697	0.011770284624359301
taurolithocholicacid-3-sulfate	LNAPE(22:5/N-20:2)	-0.3333333333333333	0.2896916120510084
taurolithocholicacid-3-sulfate	LNAPE(16:0/N-18:1)	-0.42424242424242425	0.16928128956181773
taurolithocholicacid-3-sulfate	LNAPE(18:1/N-17:0)	0.7575757575757576	0.004316216598311831
taurolithocholicacid-3-sulfate	LNAPE(18:1/N-18:2)	-0.6363636363636364	0.02609689105270316
taurolithocholicacid-3-sulfate	LNAPE(20:4/N-18:2)	-0.6060606060606061	0.03671701047945948
taurolithocholicacid-3-sulfate	LNAPE(16:1/N-16:0)	0.21212121212121213	0.508059475100817
taurolithocholicacid-3-sulfate	LNAPE(16:0/N-16:0)	-0.3939393939393939	0.2051287374811778
taurolithocholicacid-3-sulfate	LPA(16:0)	-0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	LPC(22:2)	-0.6666666666666666	0.017900123202763782
taurolithocholicacid-3-sulfate	LPC(0:0/22:5)	-0.42424242424242425	0.16928128956181773
taurolithocholicacid-3-sulfate	LPC(0:0/20:1)	-0.6363636363636364	0.02609689105270316
taurolithocholicacid-3-sulfate	LPC(0:0/22:1)	-0.45454545454545453	0.13765791634772956
taurolithocholicacid-3-sulfate	LPC(20:2/0:0)	0.42424242424242425	0.16928128956181773
taurolithocholicacid-3-sulfate	LPC(0:0/20:2)	-0.6060606060606061	0.03671701047945948
taurolithocholicacid-3-sulfate	LPC(24:1)	-0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	LPC(20:3)	-0.36363636363636365	0.24526500073077734
taurolithocholicacid-3-sulfate	LPC(18:0/0:0)	-0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	LPC(0:0/18:0)	-0.36363636363636365	0.24526500073077734
taurolithocholicacid-3-sulfate	LPC(15:0/0:0)	-0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	LPC(24:2)	0.7272727272727273	0.007355028857805139
taurolithocholicacid-3-sulfate	LPC(20:0/0:0)	0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	LPC(14:0)	0.42424242424242425	0.16928128956181773
taurolithocholicacid-3-sulfate	LPC(0:0/18:1)	0.7272727272727273	0.007355028857805139
taurolithocholicacid-3-sulfate	LPC(24:0)	0.45454545454545453	0.13765791634772956
taurolithocholicacid-3-sulfate	LPC(16:3)	-0.7575757575757576	0.004316216598311831
taurolithocholicacid-3-sulfate	LPC(O-24:0)	-0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	LPC(O-14:0)	-0.3333333333333333	0.2896916120510084
taurolithocholicacid-3-sulfate	LPC(O-16:0)	-0.7272727272727273	0.007355028857805139
taurolithocholicacid-3-sulfate	LPC(O-18:0)	0.6666666666666666	0.017900123202763782
taurolithocholicacid-3-sulfate	LPC(O-20:0)	0.7575757575757576	0.004316216598311831
taurolithocholicacid-3-sulfate	LPC(O-20:2)	-0.5454545454545454	0.06661188226688906
taurolithocholicacid-3-sulfate	LPC(O-18:1)	-0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	LPC(O-18:2)	-0.30303030303030304	0.33834513413529943
taurolithocholicacid-3-sulfate	LPC(O-20:3)	-0.7878787878787878	0.002339524253337531
taurolithocholicacid-3-sulfate	LPC(O-16:1)	-0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	LPE(22:4)	0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	LPE(15:0)	0.7272727272727273	0.007355028857805139
taurolithocholicacid-3-sulfate	LPE(0:0/20:3)	-0.45454545454545453	0.13765791634772956
taurolithocholicacid-3-sulfate	LPE(18:2/0:0)	0.3939393939393939	0.2051287374811778
taurolithocholicacid-3-sulfate	LPE(16:0/0:0)	-0.45454545454545453	0.13765791634772956
taurolithocholicacid-3-sulfate	LPE(0:0/22:5)	0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	LPE(P-17:0)	-0.45454545454545453	0.13765791634772956
taurolithocholicacid-3-sulfate	LPE(P-18:0)	0.45454545454545453	0.13765791634772956
taurolithocholicacid-3-sulfate	LPE(P-20:0)	-0.6363636363636364	0.02609689105270316
taurolithocholicacid-3-sulfate	LPE(P-18:1)	0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	MG(17:0)	-0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	MG(14:0)	0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	MGDG(18:1_20:5)	-0.6060606060606061	0.03671701047945948
taurolithocholicacid-3-sulfate	PC(18:2_18:2)	0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	PC(14:0_18:2)	-0.6666666666666666	0.017900123202763782
taurolithocholicacid-3-sulfate	PC(22:4_16:0)	0.5454545454545454	0.06661188226688906
