index,Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Nanoarchaeota,k__Bacteria;__,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Calditrichota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Dadabacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Hydrogenedentes,k__Bacteria;p__Latescibacterota,k__Bacteria;p__Margulisbacteria,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospinota,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Synergistota,k__Bacteria;p__Verrucomicrobiota,group1
M4C3,0.0,0.0,0.0,0.0,0.0,1.0,255.0,1188.0,16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1658.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0,14.0,1518.0,1.0,0.0,0.0,9.0,98.0,MucusCont
M4C4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2265.0,0.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1928.0,0.0,0.0,0.0,0.0,570.0,MucusCont
M4C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.0,6.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1629.0,0.0,0.0,0.0,0.0,862.0,MucusCont
M7C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2131.0,56.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,58.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,12.0,1581.0,0.0,0.0,0.0,0.0,964.0,MucusCont
M7C2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1232.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,48.0,0.0,8.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1448.0,0.0,0.0,0.0,0.0,1890.0,MucusCont
M7C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,70.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1611.0,0.0,0.0,0.0,0.0,1031.0,MucusCont
M7C4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1514.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,57.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1657.0,0.0,0.0,0.0,0.0,1555.0,MucusCont
M7C5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1954.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,446.0,0.0,0.0,0.0,0.0,517.0,MucusCont
M10C1,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1631.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,0.0,14.0,89.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,25.0,19.0,2094.0,0.0,0.0,0.0,1.0,234.0,MucusCont
M10C2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1756.0,174.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,542.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,24.0,72.0,1427.0,0.0,0.0,0.0,0.0,796.0,MucusCont
M10C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,55.0,1961.0,0.0,0.0,2.0,0.0,852.0,MucusCont
M10C5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2029.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,23.0,18.0,1252.0,0.0,0.0,0.0,0.0,680.0,MucusCont
Gi10I8,28.0,315.0,0.0,0.0,0.0,0.0,19.0,365.0,2.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,30.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,565.0,0.0,0.0,0.0,0.0,3221.0,MucusRes
Gi10I9,47.0,94.0,0.0,0.0,0.0,0.0,5.0,440.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,28.0,0.0,1.0,348.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,513.0,0.0,0.0,0.0,0.0,3323.0,MucusInf
Gi10C4,108.0,882.0,0.0,0.0,1.0,0.0,123.0,492.0,6.0,0.0,5.0,0.0,27.0,0.0,0.0,0.0,17.0,0.0,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,35.0,694.0,0.0,0.0,0.0,0.0,1206.0,GillCont
M10I9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2236.0,20.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,95.0,0.0,4.0,32.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,1657.0,0.0,0.0,0.0,0.0,765.0,MucusInf
M10I10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.0,29.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,310.0,0.0,3.0,10.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,41.0,5.0,1227.0,0.0,0.0,0.0,0.0,1251.0,MucusRes
M10C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1554.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,41.0,2158.0,0.0,0.0,0.0,0.0,426.0,MucusCont
